127.0.0.1, 2016-02-15 15:38:05, GET, /user/login, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:38:06, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:38:08, GET, /MoodlePlus/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:38:15, POST, /user/login, HTTP/1.1, 303, 0.208000
127.0.0.1, 2016-02-15 15:38:15, GET, /, HTTP/1.1, 200, 0.172000
127.0.0.1, 2016-02-15 15:38:17, GET, /MoodlePlus/static/images/background.jpg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:38:30, GET, /populate_db, HTTP/1.1, 500, 0.148000
127.0.0.1, 2016-02-15 15:39:08, GET, /default/grades, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:39:09, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:10, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:10, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:10, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:26, GET, /default/index, HTTP/1.1, 200, 0.052000
127.0.0.1, 2016-02-15 15:39:31, GET, /MoodlePlus/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-15 15:39:39, GET, /default/grades, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
016-02-15 15:39:40, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:39:40, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:39:42, GET, /default/notifications, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-02-15 15:39:45, GET, /courses/course/cop290, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:39:53, GET, /courses/course/cop290/assignments, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:40:24, GET, /courses/course/cop290/resources, HTTP/1.1, 200, 0.084000
127.0.0.1, 2016-02-15 15:40:24, GET, /courses/course/cop290/resources, HTTP/1.1, 200, 0.136000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:25, GET, /MoodlePlus/static/js/share.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:26, GET, /MoodlePlus/static/images/twitter.png, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:26, GET, /MoodlePlus/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:26, GET, /MoodlePlus/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:28, GET, /courses/course/cop290/threads, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:40:30, GET, /courses/course/cop290/grades, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-15 15:40:35, GET, /courses/course/csl838, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:40:41, GET, /courses/course/col740, HTTP/1.1, 200, 0.072000
127.0.0.1, 2016-02-15 15:40:45, GET, /courses/course/csl732, HTTP/1.1, 200, 0.060000
127.0.0.1, 2016-02-15 15:40:47, GET, /courses/course/col380, HTTP/1.1, 200, 0.088000
127.0.0.1, 2016-02-15 15:40:56, GET, /courses/course/cop290, HTTP/1.1, 200, 0.068000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/css/layout.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/jquery.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2016-02-15 15:40:57, GET, /MoodlePlus/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000000
